detector,dataset,granularity,vocab_id,strategy,alpha,selected_threshold,calib_ucb_risk,calib_empirical_risk,calib_coverage,test_achieved_risk,test_achieved_coverage,test_num_kept,test_num_errors,ucb_method,delta,calib_guarantee_margin,test_margin,target_met_on_test,worst_group_test,worst_group_test_risk,target_met_worst_group
mock,toy_det,fine,3ec724496c17,groupwise,0.2,0.5221190059234466,0.16996255552575096,0.0847457627118644,0.8081395348837209,0.11695906432748537,0.8189655172413793,855,100,clopper_pearson,0.05,0.030037444474249053,0.08304093567251464,True,daytime,0.11859443631039532,True
mock,toy_det,fine,4bbc6ade0721,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,4bbc6ade0721,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,4bbc6ade0721,flat,0.2,0.4557073537111952,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,4bbc6ade0721,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,4bbc6ade0721,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,4bbc6ade0721,hierarchy,0.2,0.4557073537111952,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,4bbc6ade0721,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,fine,4bbc6ade0721,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,fine,4bbc6ade0721,groupwise,0.2,0.5591038002001975,0.16918410356702515,0.125,0.6831395348837209,0.11126373626373626,0.6973180076628352,728,81,clopper_pearson,0.05,0.03081589643297486,0.08873626373626375,True,daytime,0.12480739599383667,True
mock,toy_det,fine,88a50b52ee79,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,88a50b52ee79,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,88a50b52ee79,flat,0.2,0.44928422491169123,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,88a50b52ee79,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,88a50b52ee79,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,88a50b52ee79,hierarchy,0.2,0.44928422491169123,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,88a50b52ee79,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,fine,88a50b52ee79,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,fine,88a50b52ee79,groupwise,0.2,0.5268424600555183,0.16689884168360763,0.06818181818181818,0.752906976744186,0.10648714810281518,0.7825670498084292,817,87,clopper_pearson,0.05,0.033101158316392376,0.09351285189718483,True,daytime,0.11929307805596466,True
mock,toy_det,fine,b6eaf3646ace,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,b6eaf3646ace,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,b6eaf3646ace,flat,0.2,0.513859096791636,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,b6eaf3646ace,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,b6eaf3646ace,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,b6eaf3646ace,hierarchy,0.2,0.513859096791636,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,b6eaf3646ace,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,fine,b6eaf3646ace,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,fine,b6eaf3646ace,groupwise,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.8,-0.8,False,daytime,1.0,False
mock,toy_det,fine,f5ad5a73ce48,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,f5ad5a73ce48,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,f5ad5a73ce48,flat,0.2,0.5390626409852666,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,f5ad5a73ce48,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,fine,f5ad5a73ce48,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,fine,f5ad5a73ce48,hierarchy,0.2,0.5390626409852666,0.19288253985462395,1.0,1.0,0.15229885057471265,1.0,1044,159,clopper_pearson,0.05,0.007117460145376064,0.04770114942528736,True,,,
mock,toy_det,fine,f5ad5a73ce48,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,fine,f5ad5a73ce48,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,fine,f5ad5a73ce48,groupwise,0.2,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.8,-0.8,False,daytime,1.0,False
mock,toy_det,mixed,36c973acf481,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,mixed,36c973acf481,flat,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,mixed,36c973acf481,flat,0.2,0.5783608656561651,0.19307092041707935,1.0,0.7151162790697675,0.18733850129198967,0.7413793103448276,774,145,clopper_pearson,0.05,0.006929079582920661,0.012661498708010338,True,,,
mock,toy_det,mixed,36c973acf481,hierarchy,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
mock,toy_det,mixed,36c973acf481,hierarchy,0.1,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,,,
mock,toy_det,mixed,36c973acf481,hierarchy,0.2,0.5783608656561651,0.19307092041707935,1.0,0.7151162790697675,0.18733850129198967,0.7413793103448276,774,145,clopper_pearson,0.05,0.006929079582920661,0.012661498708010338,True,,,
mock,toy_det,mixed,36c973acf481,groupwise,0.05,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,daytime,1.0,False
mock,toy_det,mixed,36c973acf481,groupwise,0.1,1.0,1.0,1.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.9,-0.9,False,daytime,1.0,False
mock,toy_det,mixed,36c973acf481,groupwise,0.2,0.5828017518154652,0.1966336402936779,0.14673913043478262,0.6715116279069767,0.16120218579234974,0.7011494252873564,732,118,clopper_pearson,0.05,0.0033663597063220974,0.03879781420765027,True,daytime,0.17003367003367004,True
mock,toy_det,mixed,42d4024467d3,flat,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0,0,clopper_pearson,0.05,-0.95,-0.95,False,,,
